"vtype","name"
"car","αυτοκίνητο"
"bike","μοτοσυκλέτα"
"boat","σκάφος"
"motorhome","αυτοκινούμενο"
"caravan","τροχόσπιτο"
"van","φορτηγό έως 7.5τ"
"truck","φορτηγό άνω των 7.5τ"
"bus","λεωφορείο"
"builder","μηχάνημα"
"semitruck","τράκτορας"
"semitrailer","επικαθήμενο"
"tractor","γεωργικό"
"forklift","κλάρκ"
"trailer","ρυμούλκες/τρέιλερ"
"taxi","ταξί"
"radiocontrol","τηλεκατευθυνόμενο"
"gokart","go kart"
"watersport","θαλάσσια σπόρ"
"snowsport","χειμερινά σπόρ"
"bicycle","ποδήλατο"
"airsport","αεράθλημα"
